direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source,name,name_src
SERVER,114,8,0x01454400,0x000eb370,jag::PacketHandlers::VorbisSpeechSound,BINDER,VORBIS_SPEECH_SOUND,KNOWN
SERVER,115,10,0x0146fe20,0x001870b0,FUN_001870b0,BINDER,UNKNOWN_115,NONE
SERVER,116,0,0x01470c20,0x000f3df0,jag::PacketHandlers::VarclanEnable,BINDER,VARCLAN_ENABLE,KNOWN
SERVER,117,4,0x0146ffe0,0x00187410,FUN_00187410,BINDER,UNKNOWN_117,NONE
SERVER,118,10,0x01470160,0x00187580,FUN_00187580,BINDER,UNKNOWN_118,NONE
SERVER,119,6,0x014543c0,0x000efb00,FUN_000efb00,BINDER,UNKNOWN_119,NONE
SERVER,120,0,0x01470c60,0x000ed440,jag::PacketHandlers::VarclanDisable,BINDER,VARCLAN_DISABLE,KNOWN
SERVER,121,30,0x01470260,0x001e08d0,FUN_001e08d0,BINDER,UNKNOWN_121,NONE
SERVER,122,12,0x014701a0,0x00187660,jag::PacketHandlers::IfSetevents,BINDER,IF_SETEVENTS,KNOWN
SERVER,123,-2,0x01454380,0x00154590,jag::PacketHandlers::CameraUpdate,BINDER,CAMERA_UPDATE,KNOWN
SERVER,124,5,0x014700e0,0x00196d80,FUN_00196d80,BINDER,UNKNOWN_124,NONE
SERVER,125,10,0x0146fae0,0x001966a0,FUN_001966a0,BINDER,UNKNOWN_125,NONE
SERVER,126,3,0x01471b60,0x000ed0b0,jag::PacketHandlers::UpdateZonePartialFollows,BINDER,UPDATE_ZONE_PARTIAL_FOLLOWS,KNOWN
SERVER,127,0,0x01454340,0x000f0a00,FUN_000f0a00,BINDER,UNKNOWN_127,NONE
SERVER,128,4,0x01454300,0x000eaa00,jag::PacketHandlers::MidiSong,BINDER,MIDI_SONG,KNOWN
SERVER,129,-2,0x014542c0,0x001219c0,jag::PacketHandlers::PlayerGroupDelta,BINDER,PLAYER_GROUP_DELTA,KNOWN
SERVER,130,2,0x01454280,0x000ead70,jag::PacketHandlers::VorbisSoundGroupStart,BINDER,VORBIS_SOUND_GROUP_START,KNOWN
SERVER,131,33,0x01454240,0x000f0e20,jag::PacketHandlers::ProjanimSpecificAlt,BINDER,PROJANIM_SPECIFIC_ALT,KNOWN
SERVER,132,20,0x014718a0,0x000f1f80,jag::PacketHandlers::MapProjanim,BINDER,MAP_PROJANIM,KNOWN
SERVER,133,15,0x01454200,0x0016a340,jag::PacketHandlers::SpotanimSpecificAlt,BINDER,SPOTANIM_SPECIFIC_ALT,KNOWN
SERVER,134,15,0x0146fce0,0x00186e20,FUN_00186e20,BINDER,UNKNOWN_134,NONE
SERVER,135,4,0x01470560,0x000edf30,jag::PacketHandlers::UpdateDob,BINDER,UPDATE_DOB,KNOWN
SERVER,136,-1,0x014541c0,0x0017d970,jag::PacketHandlers::ChangeLobby,BINDER,CHANGE_LOBBY,KNOWN
SERVER,137,2,0x01454180,0x00188410,FUN_00188410,BINDER,UNKNOWN_137,NONE
SERVER,138,8,0x01454140,0x00183760,jag::PacketHandlers::MiscNew946,BINDER,MISC_NEW_946,KNOWN
SERVER,139,4,0x01454100,0x00188030,FUN_00188030,BINDER,UNKNOWN_139,NONE
SERVER,140,0,0x014540c0,0x00175f70,FUN_00175f70,BINDER,UNKNOWN_140,NONE
SERVER,141,8,0x01454080,0x001827a0,FUN_001827a0,BINDER,UNKNOWN_141,NONE
SERVER,142,-1,0x01454040,0x001b84e0,jag::PacketHandlers::DoCheat,BINDER,DO_CHEAT,KNOWN
SERVER,143,-1,0x01454000,0x001a9870,jag::PacketHandlers::LogoutTransfer,BINDER,LOGOUT_TRANSFER,KNOWN
SERVER,144,-2,0x01453fc0,0x00175940,FUN_00175940,BINDER,UNKNOWN_144,NONE
SERVER,145,1,0x01453f80,0x00175d50,jag::PacketHandlers::CreateSuggestNameError,BINDER,CREATE_SUGGEST_NAME_ERROR,KNOWN
SERVER,146,-1,0x01453f40,0x0017b8c0,jag::PacketHandlers::CreateSuggestNameReply,BINDER,CREATE_SUGGEST_NAME_REPLY,KNOWN
SERVER,147,5,0x0146ffa0,0x00187390,FUN_00187390,BINDER,UNKNOWN_147,NONE
SERVER,148,-2,0x01453f00,0x000f75e0,FUN_000f75e0,BINDER,UNKNOWN_148,NONE
SERVER,149,-1,0x014704e0,0x00158260,FUN_00158260,BINDER,UNKNOWN_149,NONE
SERVER,150,5,0x0146fde0,0x00187030,FUN_00187030,BINDER,UNKNOWN_150,NONE
SERVER,151,1,0x01453ec0,0x00175ab0,jag::PacketHandlers::Setdraworder,BINDER,SETDRAWORDER,KNOWN
SERVER,152,-1,0x01453e80,0x001dd070,jag::packethandlers::Social::op130_RELATIONSHIP_DELTA_UNCONFIRMED,BINDER,UNKNOWN_152,NONE
SERVER,153,1,0x01453e40,0x00175e00,FUN_00175e00,BINDER,UNKNOWN_153,NONE
SERVER,154,-2,0x01453e00,0x0015c370,jag::PacketHandlers::PlayerGroupFull,BINDER,PLAYER_GROUP_FULL,KNOWN
SERVER,155,3,0x014706a0,0x000ee450,FUN_000ee450,BINDER,UNKNOWN_155,NONE
SERVER,156,8,0x01453dc0,0x001e4b40,FUN_001e4b40,BINDER,UNKNOWN_156,NONE
SERVER,157,7,0x01471520,0x001161d0,jag::PacketHandlers::ObjReveal,BINDER,OBJ_REVEAL,KNOWN
SERVER,158,10,0x01470f20,0x00141760,FUN_00141760,BINDER,UNKNOWN_158,NONE
SERVER,159,3,0x014708a0,0x000ed760,FUN_000ed760,BINDER,UNKNOWN_159,NONE
SERVER,160,10,0x01471320,0x000f0c40,jag::PacketHandlers::SoundArea,BINDER,SOUND_AREA,KNOWN
SERVER,161,14,0x01470520,0x00153fc0,FUN_00153fc0,BINDER,UNKNOWN_161,NONE
SERVER,162,3,0x01453d80,0x001e34a0,FUN_001e34a0,BINDER,UNKNOWN_162,NONE
SERVER,163,29,0x014710e0,0x000f1560,jag::PacketHandlers::MapProjanimHalfsqAlt,BINDER,MAP_PROJANIM_HALFSQ_ALT,KNOWN
SERVER,164,9,0x0146fc20,0x001969e0,FUN_001969e0,BINDER,UNKNOWN_164,NONE
SERVER,165,1,0x01453d40,0x00175f10,FUN_00175f10,BINDER,UNKNOWN_165,NONE
