# Opcode handler mappings - 2244 handlers
# Format: opcode_id (decimal) | opcode_id (hex) | handler_address

 575 | 0x023f | 0x0035cdf0
 576 | 0x0240 | 0x00397470
 577 | 0x0241 | 0x003bda50
 578 | 0x0242 | 0x00369a00
 579 | 0x0243 | 0x00396bb0
 580 | 0x0244 | 0x003cebf0
 581 | 0x0245 | 0x003c38f0
 582 | 0x0246 | 0x003969f0
 583 | 0x0247 | 0x003dadb0
 584 | 0x0248 | 0x0038f6e0
 585 | 0x0249 | 0x003c0070
 586 | 0x024a | 0x00390080
 587 | 0x024b | 0x004389d0
 588 | 0x024c | 0x00435aa0
 589 | 0x024d | 0x00396130
 590 | 0x024e | 0x0035b9d0
 591 | 0x024f | 0x0038e100
 592 | 0x0250 | 0x00391eb0
 593 | 0x0251 | 0x003839f0
 594 | 0x0252 | 0x00359250
 595 | 0x0253 | 0x0038e950
 596 | 0x0254 | 0x003a4890
 597 | 0x0255 | 0x00380a20
 598 | 0x0256 | 0x0035c380
 599 | 0x0257 | 0x00395fe0
 600 | 0x0258 | 0x003cf140
 601 | 0x0259 | 0x003c4a00
 602 | 0x025a | 0x00362850
 603 | 0x025b | 0x00438990
 604 | 0x025c | 0x003d99b0
 605 | 0x025d | 0x003997e0
 606 | 0x025e | 0x0035b970
 607 | 0x025f | 0x00389d30
 608 | 0x0260 | 0x0036d060
 609 | 0x0261 | 0x00390860
 610 | 0x0262 | 0x00399460
 611 | 0x0263 | 0x00381ca0
 612 | 0x0264 | 0x003c1550
 613 | 0x0265 | 0x00438800
 614 | 0x0266 | 0x0038b700
 615 | 0x0267 | 0x0038b8c0
 616 | 0x0268 | 0x0035bb20
 617 | 0x0269 | 0x003befd0
 618 | 0x026a | 0x0035ec00
 619 | 0x026b | 0x00438bd0
 620 | 0x026c | 0x0038cf80
 621 | 0x026d | 0x00427e50
 622 | 0x026e | 0x0035ef20
 623 | 0x026f | 0x0036dae0
 624 | 0x0270 | 0x0035cf10
 625 | 0x0271 | 0x003bedc0
 626 | 0x0272 | 0x003df210
 627 | 0x0273 | 0x00358440
 628 | 0x0274 | 0x0038f280
 629 | 0x0275 | 0x00398dd0
 630 | 0x0276 | 0x003bf3a0
 631 | 0x0277 | 0x003584e0
 632 | 0x0278 | 0x00427dd0
 633 | 0x0279 | 0x00391f20
 634 | 0x027a | 0x0037b8b0
 635 | 0x027b | 0x003d8950
 636 | 0x027c | 0x003904e0
 637 | 0x027d | 0x003bf190
 638 | 0x027e | 0x003956b0
 639 | 0x027f | 0x00390e10
 640 | 0x0280 | 0x00390010
 641 | 0x0281 | 0x0035c060
 642 | 0x0282 | 0x00358910
 643 | 0x0283 | 0x00357d90
 644 | 0x0284 | 0x003c8b30
 645 | 0x0285 | 0x00385ea0
 646 | 0x0286 | 0x003d8d50
